country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
tr,lstm,m3,full,32,0.027467067393155676,0.015581105023326061,0.7291141582788084,-1.4466043524460703,0.14800776650261405
tr,deepvar,m1,pre_crisis,8,0.018410870558018596,0.013608545772661226,0.9668927720101772,-0.5510854819734434,0.5815750771780213
tr,deepvar,m1,covid,7,0.06931998738487555,0.042943606785095574,0.9556542411830089,-0.9979452874519649,0.31830588999261633
tr,deepvar,m1,post_covid,16,0.01193702116977423,0.008359797383038962,1.0220885930609027,0.8336785491439376,0.4044621490524172
tr,deepvar,m1,full,32,0.03477766383761694,0.01724687684842493,0.9601712367422244,-1.018906398462059,0.30824740575781817
tr,deepvar,m2,pre_crisis,8,0.018406593190363717,0.013603011460161225,0.9666681353828271,-0.5548290258103034,0.5790116115795398
tr,deepvar,m2,covid,7,0.0693071357379044,0.04293739228509557,0.9554770667287498,-1.0028537296615203,0.3159314403473299
tr,deepvar,m2,post_covid,16,0.011937388525987096,0.008359060945538963,1.0221200473566956,0.834979041728952,0.4037295088393549
tr,deepvar,m2,full,32,0.034771579420215915,0.017243854473424934,0.9600032529866714,-1.0235786776460654,0.3060343206327687
tr,deepvar,m3,pre_crisis,8,0.018407790390606395,0.013604709147661227,0.9902894619088916,-0.10368189171204724,0.9174217975149959
tr,deepvar,m3,covid,7,0.06930541103904575,0.04293819264223843,0.9115924817921002,-1.2759658186782243,0.20196760236440436
tr,deepvar,m3,post_covid,16,0.011939022850368039,0.008360177008038962,1.03152195763229,1.4635225131523868,0.14332445794397675
tr,deepvar,m3,full,32,0.0347712591421772,0.01724498277029993,0.9230041554439915,-1.2057996957066635,0.22789473287458506
tr,bvar,m1,pre_crisis,8,0.010296393363979367,0.008941758346815024,0.5407407699724021,-1.0985940985509333,0.27194515297516864
tr,bvar,m1,covid,7,0.07498636267426967,0.05482582627069373,1.0337716180281404,0.5422868282359666,0.5876209280774995
tr,bvar,m1,post_covid,16,0.017778196619441078,0.013073389612837874,1.5222300196581038,1.2379435229064186,0.21573700282718655
tr,bvar,m1,full,32,0.037624487350762625,0.020945965401725594,1.0387687545676552,0.6131070950404628,0.539805529172384
tr,bvar,m2,pre_crisis,8,0.006640947701519718,0.005657572588146125,0.348765926720418,-1.487138137935784,0.13697833058228825
tr,bvar,m2,covid,7,0.06536269702556191,0.04545592551625666,0.9010985284926192,-1.4318517368256702,0.15218625708989442
tr,bvar,m2,post_covid,16,0.018823824651679515,0.013182980744113126,1.611760269218333,0.9762620642856972,0.3289346139893241
tr,bvar,m2,full,32,0.03357149863242395,0.018315515400081597,0.9268704048579126,-0.8993744673350342,0.3684532344254565
tr,bvar,m3,pre_crisis,8,0.0153134349487047,0.012524052907927737,0.8238214871823099,-1.9220455322439158,0.05460002873694392
tr,bvar,m3,covid,7,0.04608716009969811,0.030809819184785536,0.6061966594551218,-1.4259440246599542,0.1538845001618292
tr,bvar,m3,post_covid,16,0.02220989409234582,0.01758846016586326,1.9189169599617741,1.93356204747165,0.05316699735986741
tr,bvar,m3,full,32,0.02797493094564652,0.019294895778157805,0.7425954120761147,-1.0459043038531441,0.2956052170969701
tr,midas,m1,pre_crisis,8,0.018567088727044868,0.013648730665026764,0.9750969586624146,-0.3888292495585309,0.6974024620992567
tr,midas,m1,covid,7,0.07007106898219788,0.04338145069705809,0.9660087484619904,-0.720694200585376,0.4710976813423109
tr,midas,m1,post_covid,16,0.011957708552124224,0.00841690400300013,1.0238599175160992,0.9210230550337082,0.35703839030681994
tr,midas,m1,full,32,0.03513729986885688,0.017411349057042117,0.9701003732852952,-0.7404379905905619,0.4590342740989741
tr,midas,m2,pre_crisis,8,0.017732741474299624,0.012684187793089113,0.9312791323687759,-1.1245430637153566,0.26078271229767647
tr,midas,m2,covid,7,0.06109651659518136,0.03819112237106946,0.8422844176459305,-1.868019501708189,0.06175935269987165
