Date,icsa_weekly,nfci_weekly,dtwexbgs,dtwexm,covid_2020q2,covid_2020q3,covid_2020q4
1974-11-09,0.08269171584511348,2.89,,-0.0009574425341565274,0,0,0
1974-11-16,0.017978012295406742,2.803,,-0.002320538283215434,0,0,0
1974-11-23,0.1429523545172291,2.733,,-0.002027687012836843,0,0,0
1974-11-30,-0.08876792056440586,2.671,,-0.002296362851527789,0,0,0
1974-12-07,0.10788896201118447,2.607,,-0.0008656850555066598,0,0,0
1974-12-14,-0.03468555798789019,2.535,,-0.003048110504471957,0,0,0
1974-12-21,0.021339316034996614,2.446,,-0.0021953192102257546,0,0,0
1974-12-28,0.030248052755496246,2.337,,-0.004218986134452152,0,0,0
1975-01-04,-0.16350528499447847,2.206,,-0.001241415888553199,0,0,0
1975-01-11,0.19467187723289925,2.058,,-4.2629823930440125e-05,0,0,0
1975-01-18,0.037205354050065864,1.899,,-0.0017632934984117554,0,0,0
1975-01-25,-0.03540192705091627,1.735,,-0.012265985078070862,0,0,0
1975-02-01,0.0071813594086656,1.571,,0.005484575259029789,0,0,0
1975-02-08,-0.02536367849185517,1.415,,0.0012940587529737257,0,0,0
1975-02-15,-0.02790878811707742,1.268,,-0.007061196726968255,0,0,0
1975-02-22,0.02607224030977484,1.131,,-0.006881514502031116,0,0,0
1975-03-01,0.0036697288889637747,1.006,,-0.009451007429005287,0,0,0
1975-03-08,0.009115833408008811,0.89,,0.006274353751124728,0,0,0
1975-03-15,-0.036972787910976024,0.783,,0.001218301473155492,0,0,0
1975-03-22,0.03515625698457825,0.681,,-0.0012467462354601722,0,0,0
1975-03-29,0.009049835519917337,0.582,,0.008852859882476416,0,0,0
1975-04-05,-0.03297001923757037,0.485,,0.0038050450131690283,0,0,0
1975-04-12,-0.032169282933390164,0.389,,0.0026897584566176747,0,0,0
1975-04-19,0.020933209666464947,0.295,,0.0019399443090506452,0,0,0
1975-04-26,-0.03448617607116944,0.205,,0.002066728513085536,0,0,0
1975-05-03,-0.015717415895409204,0.121,,-0.0015536376987324019,0,0,0
1975-05-10,0.0039525743158232984,0.045,,-8.981816312925162e-06,0,0,0
1975-05-17,0.013712261863981112,-0.022,,0.002737711292473577,0,0,0
1975-05-24,-0.04171409141247473,-0.076,,-0.0068999711990080925,0,0,0
1975-05-31,-0.037194370008048594,-0.118,,0.0013770030682289658,0,0,0
1975-06-07,0.10767362782365808,-0.146,,0.0003021861489660438,0,0,0
1975-06-14,-0.06239840576166955,-0.164,,0.0013627051852473926,0,0,0
1975-06-21,0.0,-0.172,,0.0024617540171947283,0,0,0
1975-06-28,-0.07953981603608362,-0.173,,0.007165072399796912,0,0,0
1975-07-05,-0.08167803101426863,-0.17,,0.0060425827022179135,0,0,0
1975-07-12,0.05294677297378669,-0.164,,0.006168570734987888,0,0,0
