country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,mlp,m3,post_covid,16,0.003779408296622294,0.0029309727209300873,0.7969875820345685,-1.2588239428802355,0.20809393021770317
us,mlp,m3,full,36,0.01856319723591078,0.008613921534410825,0.805222008767049,-1.036018362480214,0.3001935760049754
us,lstm,m1,pre_covid,12,0.003261230896574756,0.0023900141666207833,1.051969080852835,0.37435690992041115,0.7081387969398645
us,lstm,m1,covid,7,0.04488820631904575,0.028347652809996023,0.9525670256334215,-0.6514108502928887,0.5147813083590924
us,lstm,m1,post_covid,16,0.006203979432891383,0.004670856450384706,1.3372887693346263,1.8783995045476287,0.06032653325825743
us,lstm,m1,full,36,0.020614465725151698,0.008974108682876191,0.9633296536241805,-0.5535407662733641,0.5798931737612478
us,lstm,m2,pre_covid,12,0.0033540364004316643,0.002348994460362583,1.0819051766665275,0.5367442883181958,0.5914442592822424
us,lstm,m2,covid,7,0.02905796528124316,0.018667677681424598,0.6166354556958259,-1.5444869273790254,0.12247041577098239
us,lstm,m2,post_covid,16,0.0049470170206523,0.003867184406842406,1.0663462661323406,1.1256769745255057,0.2603022733239517
us,lstm,m2,full,36,0.013726845046840564,0.006648438333660213,0.6414659036344446,-1.4419451240475443,0.14931785504500272
us,lstm,m3,pre_covid,12,0.003388887562513731,0.0026620564606683167,1.2447926982947484,1.4828188080460665,0.13812255760955394
us,lstm,m3,covid,7,0.02285837837124088,0.015366398038567458,0.4479849269303195,-1.572708338757137,0.11578636810950105
us,lstm,m3,post_covid,16,0.005111840174886907,0.003926962751594307,1.07796586687163,1.4557950144482803,0.1454492943932033
us,lstm,m3,full,36,0.0114043086948064,0.006221921875874081,0.4946885086189184,-1.4389118034473678,0.1501755128454183
us,deepvar,m1,pre_covid,12,0.002667971990963654,0.0020883383631419834,0.8606026779713505,-2.2357786643427136,0.025366273185663868
